FID,ID,GRIDCODE,Descriptio,area_ac
126,45840.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0062366
127,45843.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0556841
128,45844.000000000000000,31.000000000000000,Woburn clay loam,0.0085154
129,45854.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.2088490
130,45857.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0466002
131,45858.000000000000000,31.000000000000000,Woburn clay loam,0.0062367
132,45859.000000000000000,31.000000000000000,Woburn clay loam,0.0084174
133,45863.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0167592
134,45864.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0675442
135,45868.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0509919
136,45869.000000000000000,31.000000000000000,Woburn clay loam,0.0192521
137,45870.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0405996
138,45883.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0165660
139,45890.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0062366
140,45898.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0062366
141,45899.000000000000000,31.000000000000000,Woburn clay loam,0.0084174
142,45900.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0084174
143,45903.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0062366
144,45904.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0256286
145,45905.000000000000000,1.000000000000000,Beach,2.0597999
146,45914.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.1088730
147,45915.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0258098
148,45921.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0042701
149,45922.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0167593
150,45923.000000000000000,31.000000000000000,Woburn clay loam,0.3013160
151,45931.000000000000000,31.000000000000000,Woburn clay loam,0.0085152
152,45932.000000000000000,18.000000000000000,No_Soil,0.0258097
153,45935.000000000000000,18.000000000000000,No_Soil,0.2602180
154,45943.000000000000000,15.000000000000000,Hartman clay,0.0062367
155,45947.000000000000000,31.000000000000000,Woburn clay loam,0.0988963
156,45948.000000000000000,1.000000000000000,Beach,0.2330390
157,45952.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.2165270
158,45963.000000000000000,15.000000000000000,Hartman clay,0.0386511
159,45969.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.6241760
160,45975.000000000000000,31.000000000000000,Woburn clay loam,0.0139816
161,45983.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0194480
162,45984.000000000000000,31.000000000000000,Woburn clay loam,0.6521630
163,46000.000000000000000,31.000000000000000,Woburn clay loam,1.3185800
164,46006.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0825626
165,46007.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0167593
166,46008.000000000000000,15.000000000000000,Hartman clay,0.0283384
167,46012.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0653364
168,46027.000000000000000,18.000000000000000,No_Soil,0.1598640
169,46035.000000000000000,18.000000000000000,No_Soil,0.5539140
170,46036.000000000000000,18.000000000000000,No_Soil,0.9702410
171,46041.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0374199
172,46054.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.4408210
173,46055.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),4.4634800
174,46062.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0374199
175,46063.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0136666
176,46072.000000000000000,31.000000000000000,Woburn clay loam,0.2587780
177,46079.000000000000000,18.000000000000000,No_Soil,0.0900405
178,46088.000000000000000,31.000000000000000,Woburn clay loam,0.0566875
179,46104.000000000000000,31.000000000000000,Woburn clay loam,0.0480290
180,46110.000000000000000,16.000000000000000,Hope clay,118.0339966
181,46113.000000000000000,31.000000000000000,Woburn clay loam,0.0306620
182,46117.000000000000000,31.000000000000000,Woburn clay loam,0.0490924
183,46130.000000000000000,31.000000000000000,Woburn clay loam,3.4869201
184,46122.000000000000000,31.000000000000000,Woburn clay loam,0.3692330
185,46127.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0903916
186,46128.000000000000000,31.000000000000000,Woburn clay loam,0.2185920
187,46129.000000000000000,31.000000000000000,Woburn clay loam,0.9179710
188,46136.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0167595
189,46137.000000000000000,31.000000000000000,Woburn clay loam,0.0136667
190,46141.000000000000000,31.000000000000000,Woburn clay loam,0.1158140
191,46145.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0306619
192,46146.000000000000000,31.000000000000000,Woburn clay loam,0.0544725
193,46147.000000000000000,31.000000000000000,Woburn clay loam,0.0084174
194,46148.000000000000000,31.000000000000000,Woburn clay loam,1.0656300
195,46149.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0327295
196,46157.000000000000000,31.000000000000000,Woburn clay loam,0.0531516
197,46158.000000000000000,31.000000000000000,Woburn clay loam,1.7911400
198,46161.000000000000000,31.000000000000000,Woburn clay loam,0.0210516
199,46163.000000000000000,31.000000000000000,Woburn clay loam,0.0366277
200,46171.000000000000000,31.000000000000000,Woburn clay loam,0.0603809
201,46172.000000000000000,31.000000000000000,Woburn clay loam,0.0084174
202,46179.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0042701
203,46191.000000000000000,31.000000000000000,Woburn clay loam,0.0791749
204,46198.000000000000000,31.000000000000000,Woburn clay loam,0.0084174
205,46199.000000000000000,31.000000000000000,Woburn clay loam,0.2346110
206,46200.000000000000000,31.000000000000000,Woburn clay loam,0.1312970
207,46204.000000000000000,31.000000000000000,Woburn clay loam,0.0306622
208,46220.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0637157
209,46225.000000000000000,15.000000000000000,Hartman clay,5.3522000
210,46232.000000000000000,31.000000000000000,Woburn clay loam,0.0265212
211,46239.000000000000000,31.000000000000000,Woburn clay loam,0.0084174
212,46240.000000000000000,31.000000000000000,Woburn clay loam,0.0167596
213,46244.000000000000000,31.000000000000000,Woburn clay loam,0.0167596
214,46245.000000000000000,31.000000000000000,Woburn clay loam,0.0255295
215,46247.000000000000000,31.000000000000000,Woburn clay loam,0.0971078
216,46248.000000000000000,31.000000000000000,Woburn clay loam,0.0201813
217,46267.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0445030
218,46268.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),40.6865997
219,46271.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0983913
220,46290.000000000000000,31.000000000000000,Woburn clay loam,0.0462895
221,46299.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0366277
222,46302.000000000000000,31.000000000000000,Woburn clay loam,10.7231998
223,46312.000000000000000,31.000000000000000,Woburn clay loam,0.0167595
224,46313.000000000000000,31.000000000000000,Woburn clay loam,2.4729600
225,46328.000000000000000,31.000000000000000,Woburn clay loam,0.0283385
226,46316.000000000000000,31.000000000000000,Woburn clay loam,23.5687008
227,46338.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0837714
228,46343.000000000000000,15.000000000000000,Hartman clay,11.2364998
229,46344.000000000000000,31.000000000000000,Woburn clay loam,0.0872976
230,46348.000000000000000,31.000000000000000,Woburn clay loam,0.0384691
231,46354.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0536628
232,46356.000000000000000,31.000000000000000,Woburn clay loam,0.0306621
233,46362.000000000000000,31.000000000000000,Woburn clay loam,0.0085153
234,46368.000000000000000,31.000000000000000,Woburn clay loam,3.3089600
235,46393.000000000000000,31.000000000000000,Woburn clay loam,0.1524940
236,46375.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),6.3334398
237,46419.000000000000000,31.000000000000000,Woburn clay loam,0.0136668
238,46408.000000000000000,31.000000000000000,Woburn clay loam,0.0085153
239,46429.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0081932
240,46450.000000000000000,31.000000000000000,Woburn clay loam,0.1902390
241,46451.000000000000000,31.000000000000000,Woburn clay loam,8.7866602
242,46465.000000000000000,31.000000000000000,Woburn clay loam,0.5857580
243,46497.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.1402740
244,46505.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0393422
245,46529.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0681779
246,46566.000000000000000,31.000000000000000,Woburn clay loam,31.2495995
247,46685.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),81.9357986
248,47150.000000000000000,15.000000000000000,Hartman clay,29.8122005
